Price,Adj Close,Close,High,Low,Open,Volume
Ticker,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW,BTC-KRW
Date,,,,,,
2023-12-01,48938432.0,48938432.0,49173200.0,48759792.0,48844500.0,23508436976419
2023-12-02,50095544.0,50095544.0,50617920.0,48914992.0,48945260.0,30445175673299
2023-12-03,51082308.0,51082308.0,51344480.0,50048732.0,50096232.0,20101015984726
2023-12-04,51746480.0,51746480.0,51949968.0,50851760.0,51076972.0,20411682786240
2023-12-05,54960372.0,54960372.0,55533192.0,51746784.0,51746784.0,52179668564709
2023-12-06,57911392.0,57911392.0,58340996.0,54432324.0,54968440.0,47705456141590
2023-12-07,57514276.0,57514276.0,58154580.0,57201976.0,57910572.0,39322927445560
2023-12-08,56868380.0,56868380.0,58308672.0,56622360.0,57544100.0,36301785044570
2023-12-09,58196564.0,58196564.0,58887372.0,56455324.0,56869000.0,32178728613395
2023-12-10,57615984.0,57615984.0,58453056.0,57486340.0,58214248.0,22885395814233
2023-12-11,57676484.0,57676484.0,58022664.0,57430896.0,57619140.0,17127163522922
2023-12-12,54231496.0,54231496.0,57714260.0,52961548.0,57692712.0,53427879009013
2023-12-13,54346948.0,54346948.0,55167772.0,53482952.0,54224788.0,32489362388345
2023-12-14,55458920.0,55458920.0,56239828.0,53661032.0,54370868.0,34650409569741
2023-12-15,55412260.0,55412260.0,55915380.0,54017340.0,55450544.0,32943591489987
2023-12-16,54439520.0,54439520.0,55804272.0,54162856.0,55417772.0,25498878034790
2023-12-17,54842476.0,54842476.0,55394048.0,54171220.0,54449884.0,18679016160938
2023-12-18,53713428.0,53713428.0,55012044.0,53596400.0,54837268.0,21657863861122
2023-12-19,55469736.0,55469736.0,55721580.0,52683788.0,53692048.0,32827031959086
2023-12-20,54881492.0,54881492.0,56633260.0,54485884.0,55493124.0,30083826310479
2023-12-21,56744628.0,56744628.0,57550592.0,54965532.0,54869516.0,36227477666370
2023-12-22,56760476.0,56760476.0,57420580.0,56483324.0,56739268.0,29050703770305
2023-12-23,57186712.0,57186712.0,57763784.0,56347632.0,56760264.0,27332007340238
2023-12-24,56818976.0,56818976.0,57209844.0,56270112.0,57205296.0,17547032963102
2023-12-25,55893296.0,55893296.0,57101052.0,55593492.0,56804460.0,24467612772429
2023-12-26,56533592.0,56533592.0,56772944.0,55568132.0,55886092.0,27371377811487
2023-12-27,54957700.0,54957700.0,56520676.0,54012188.0,56516360.0,38809762065013
2023-12-28,56291072.0,56291072.0,56546044.0,54562828.0,54955200.0,32731860628340
2023-12-29,54822336.0,54822336.0,56557676.0,54516216.0,56323912.0,29569405378289
2023-12-30,54498940.0,54498940.0,55979372.0,53624688.0,54805348.0,33657807256412
2023-12-31,54573372.0,54573372.0,55126424.0,53795780.0,54489036.0,20730507552967
2024-01-01,54735140.0,54735140.0,55484768.0,54368000.0,54567156.0,21235430222208
2024-01-02,56562448.0,56562448.0,56572832.0,54648552.0,54754632.0,23598325673712
2024-01-03,58935404.0,58935404.0,60082764.0,56574768.0,56587816.0,51564611389277
2024-01-04,56141780.0,56141780.0,59517664.0,53559256.0,58940164.0,60719981782131
2024-01-05,57974748.0,57974748.0,58862284.0,55939280.0,56151788.0,39955264166073
2024-01-06,58062680.0,58062680.0,58313260.0,56136012.0,57991884.0,42513632903584
2024-01-07,57834572.0,57834572.0,58148056.0,57158744.0,58084060.0,21157538471457
2024-01-08,57749668.0,57749668.0,58500332.0,57380552.0,57846760.0,25404085197877
2024-01-09,61634536.0,61634536.0,62006340.0,56896360.0,57757040.0,56091409449919
2024-01-10,60931568.0,60931568.0,63266244.0,59703964.0,61657020.0,52587514448640
2024-01-11,61516700.0,61516700.0,62848936.0,58675564.0,60907548.0,66116930874331
2024-01-12,60917976.0,60917976.0,64553224.0,60034700.0,61554028.0,60215302745674
2024-01-13,56288064.0,56288064.0,61128288.0,55041020.0,60899856.0,56917933332495
2024-01-14,56273896.0,56273896.0,56789160.0,55777076.0,56217500.0,27060749744162
2024-01-15,54884148.0,54884148.0,56567096.0,54790056.0,56273740.0,23008004300633
2024-01-16,56135052.0,56135052.0,57223636.0,54764848.0,54777520.0,29472799718715
2024-01-17,57779856.0,57779856.0,58348276.0,56308344.0,56118372.0,32217612881642
2024-01-18,57498116.0,57498116.0,57880332.0,56852408.0,57749268.0,28049419880313
2024-01-19,55224524.0,55224524.0,57429012.0,54390208.0,57497660.0,33751872293144
2024-01-20,55596156.0,55596156.0,56258388.0,53832952.0,55246472.0,34401481859070
2024-01-21,55659180.0,55659180.0,55942792.0,55366944.0,55604416.0,15478138977627
2024-01-22,55489648.0,55489648.0,55912704.0,55424504.0,55667068.0,12480152304974
2024-01-23,52925536.0,52925536.0,55653024.0,52812564.0,55500160.0,41982495185242
2024-01-24,53326512.0,53326512.0,53585664.0,51530164.0,52940736.0,39138872736983
2024-01-25,53360044.0,53360044.0,53999176.0,52634720.0,53369396.0,29770269465393
2024-01-26,53362584.0,53362584.0,53799420.0,52799016.0,53358012.0,24710123059231
2024-01-27,55925260.0,55925260.0,56427524.0,53295344.0,53366608.0,34234541573276
2024-01-28,56330732.0,56330732.0,56431804.0,55409572.0,55923588.0,15276871198752
2024-01-29,56203048.0,56203048.0,57236304.0,55764820.0,56338848.0,22541030421541
2024-01-30,57737668.0,57737668.0,57761292.0,55862924.0,56196792.0,27567522436785
2024-01-31,56983624.0,56983624.0,58302304.0,56663584.0,57753652.0,31631372588369
2024-02-01,56836772.0,56836772.0,58148936.0,56445044.0,56975188.0,32932916873197
2024-02-02,57288756.0,57288756.0,57499576.0,55800348.0,56819628.0,28492851578956
2024-02-03,57822844.0,57822844.0,58009944.0,56798120.0,57291236.0,24909243560640
2024-02-04,57563612.0,57563612.0,58055928.0,57427788.0,57821644.0,14954837524153
2024-02-05,57013556.0,57013556.0,57704728.0,56734072.0,57567216.0,19818142775135
2024-02-06,56907780.0,56907780.0,58054336.0,56551136.0,57005576.0,24966951849326
2024-02-07,57185448.0,57185448.0,57555092.0,56651788.0,56906080.0,22296292032373
2024-02-08,58882112.0,58882112.0,58914944.0,56731700.0,57192548.0,28069221817224
